iter	RMSE
0	0.1658164208
1	0.1656893065
2	0.165557328
3	0.1654463147
4	0.165333396
5	0.1652305982
6	0.1651350292
7	0.1650451512
8	0.1649625742
9	0.1648679752
10	0.1647707486
11	0.164679711
12	0.1645939245
13	0.1645255678
14	0.1644518033
15	0.1643656666
16	0.164287399
17	0.1642150038
18	0.1641481611
19	0.1640949764
20	0.1640312895
21	0.1639567043
22	0.1638828231
23	0.1638317781
24	0.1637817353
25	0.1637311489
26	0.1636788368
27	0.1636229902
28	0.163574916
29	0.1635293879
30	0.1634752173
31	0.1634243267
32	0.1633695219
33	0.163312836
34	0.1632673541
35	0.1632251368
36	0.1631935998
37	0.1631590746
38	0.1631123415
39	0.1630632001
40	0.1630240048
41	0.1629827688
42	0.1629497826
43	0.1629259368
44	0.1628988374
45	0.1628662296
46	0.1628332393
47	0.1628016635
48	0.1627680292
49	0.1627329464
50	0.162702879
51	0.1626702608
52	0.1626358438
53	0.1626145391
54	0.1625832433
55	0.1625485303
56	0.1625214446
57	0.162495873
58	0.1624602333
59	0.1624319274
60	0.1624050935
61	0.1623832766
62	0.1623640361
63	0.1623474844
64	0.162323226
65	0.1622941432
66	0.1622599812
67	0.1622254883
68	0.1621958066
69	0.1621700875
70	0.162140922
71	0.1621126861
72	0.1620899821
73	0.1620654112
74	0.1620344008
75	0.162014639
76	0.1620031333
77	0.1619694819
78	0.161949343
79	0.1619145665
80	0.1618836196
81	0.1618635707
82	0.1618385883
83	0.1618066244
84	0.161792874
85	0.1617651474
86	0.1617494437
87	0.1617283399
88	0.1616981928
89	0.1616864194
90	0.161663939
91	0.1616420392
92	0.1616270182
93	0.1616035485
94	0.1615799634
95	0.1615679505
96	0.1615460754
97	0.1615281652
98	0.1615075022
99	0.1614903217
100	0.1614727639
101	0.1614450264
102	0.1614278851
103	0.1614059755
104	0.1613831774
105	0.1613634221
106	0.1613412043
107	0.1613300942
108	0.1613007285
109	0.1612864341
110	0.1612753462
111	0.1612500644
112	0.1612395339
113	0.1612160532
114	0.1611919841
115	0.1611607479
116	0.161153087
117	0.1611325622
118	0.1611266701
119	0.1611248679
120	0.1610981689
121	0.1610753054
122	0.1610585033
123	0.1610344615
124	0.1610117996
125	0.1609916643
126	0.1609692685
127	0.1609532111
128	0.1609392634
129	0.1609133434
130	0.1608947901
131	0.1608796197
132	0.1608577442
133	0.1608374581
134	0.1608200583
135	0.1607945198
136	0.1607673161
137	0.1607474618
138	0.1607227968
139	0.1607225922
140	0.1607070829
141	0.1606845731
142	0.1606698112
143	0.1606466303
144	0.160631195
145	0.1606111379
146	0.1605997912
147	0.1605766993
148	0.160555395
149	0.1605432419
150	0.1605261195
151	0.1605171076
152	0.1605090376
153	0.1604911711
154	0.1604720024
155	0.1604596104
156	0.1604366553
157	0.1604182124
158	0.1603907881
159	0.1603710314
160	0.1603509526
161	0.1603389056
162	0.1603212546
163	0.1603108809
164	0.1602814743
165	0.1602617686
166	0.1602371916
167	0.1602269187
168	0.1602051204
169	0.1601926485
170	0.1601842724
171	0.1601621128
172	0.1601428568
173	0.1601354862
174	0.1601209643
175	0.1600994396
176	0.1600872043
177	0.1600722493
178	0.1600547873
179	0.160046155
180	0.1600332249
181	0.1600105497
182	0.1599945801
183	0.1599761976
184	0.1599612273
185	0.159941348
186	0.1599266116
187	0.1599115901
188	0.1599008389
189	0.1598766751
190	0.1598670664
191	0.1598383662
192	0.1598267367
193	0.1598079818
194	0.1597771161
195	0.1597533263
196	0.1597396269
197	0.1597158994
198	0.1597137336
199	0.1596976586
200	0.159677882
201	0.1596617551
202	0.1596501836
203	0.1596407836
204	0.1596339208
205	0.1596135965
206	0.1595881357
207	0.1595690231
208	0.1595513727
209	0.1595374696
210	0.1595223092
211	0.159500803
212	0.1594913591
213	0.1594733205
214	0.1594566938
215	0.1594453129
216	0.1594352596
217	0.1594207752
218	0.1593995869
219	0.1593879094
220	0.1593804795
221	0.1593651737
222	0.1593453244
223	0.1593295266
224	0.1593053429
225	0.159293822
226	0.1592795396
227	0.1592579
228	0.1592456721
229	0.1592347011
230	0.1592240554
231	0.1592107416
232	0.1592040043
233	0.1591806207
234	0.1591598113
235	0.1591519889
236	0.159133726
237	0.1591155238
238	0.1590945299
239	0.1590891058
240	0.1590762931
241	0.1590570089
242	0.1590374205
243	0.1590157919
244	0.1589987375
245	0.1589839152
246	0.1589770874
247	0.158954465
248	0.1589374549
249	0.1589174686
250	0.1589065341
251	0.1588892256
252	0.1588774531
253	0.1588601906
254	0.1588415766
255	0.1588280714
