iter	Passed	Remaining
0	53	53646
1	98	49334
2	140	46653
3	194	48488
4	236	47080
5	283	46912
6	333	47268
7	378	46991
8	428	47191
9	482	47790
10	534	48028
11	578	47666
12	626	47577
13	670	47254
14	717	47139
15	785	48330
16	831	48077
17	891	48615
18	957	49411
19	1001	49077
20	1044	48682
21	1090	48468
22	1130	48029
23	1177	47893
24	1226	47849
25	1275	47772
26	1319	47535
27	1365	47414
28	1410	47234
29	1455	47077
30	1500	46887
31	1544	46706
32	1585	46473
33	1639	46574
34	1684	46454
35	1728	46298
36	1773	46151
37	1817	46018
38	1858	45801
39	1903	45674
40	1946	45520
41	1987	45325
42	2034	45275
43	2078	45151
44	2120	44992
45	2169	44984
46	2216	44945
47	2263	44884
48	2313	44898
49	2357	44799
50	2397	44611
51	2440	44498
52	2486	44436
53	2528	44303
54	2572	44199
55	2613	44060
56	2655	43932
57	2699	43840
58	2740	43711
59	2785	43638
60	2832	43598
61	2882	43609
62	2942	43767
63	2998	43850
64	3039	43718
65	3083	43642
66	3130	43587
67	3175	43517
68	3217	43411
69	3262	43347
70	3306	43258
71	3350	43177
72	3396	43127
73	3439	43039
74	3485	42981
75	3530	42928
76	3574	42846
77	3621	42813
78	3673	42828
79	3717	42756
80	3761	42671
81	3804	42590
82	3847	42509
83	3889	42410
84	3935	42360
85	3977	42268
86	4017	42158
87	4063	42116
88	4107	42039
89	4147	41933
90	4193	41885
91	4236	41816
92	4283	41771
93	4330	41742
94	4373	41665
95	4426	41684
96	4478	41688
97	4524	41642
98	4573	41622
99	4620	41583
100	4666	41532
101	4710	41467
102	4759	41452
103	4805	41405
104	4853	41369
105	4903	41352
106	4946	41285
107	4991	41226
108	5039	41192
109	5079	41097
110	5129	41083
111	5182	41092
112	5227	41033
113	5281	41047
114	5336	41064
115	5383	41028
116	5425	40949
117	5472	40906
118	5520	40868
119	5534	40584
120	5576	40512
121	5623	40469
122	5664	40389
123	5705	40309
124	5752	40267
125	5798	40220
126	5843	40170
127	5891	40135
128	5943	40129
129	5990	40092
130	6042	40086
131	6085	40017
132	6128	39953
133	6175	39909
134	6217	39839
135	6257	39754
136	6304	39714
137	6348	39655
138	6393	39605
139	6410	39378
140	6457	39343
141	6500	39279
142	6551	39266
143	6644	39498
144	6694	39471
145	6735	39398
146	6781	39352
147	6824	39289
148	6868	39226
149	6911	39163
150	6955	39109
151	6997	39039
152	7044	38997
153	7093	38966
154	7136	38903
155	7183	38865
156	7245	38906
157	7292	38861
158	7358	38922
159	7403	38868
160	7445	38801
161	7492	38759
162	7533	38685
163	7576	38621
164	7657	38751
165	7760	38990
166	7805	38933
167	7852	38889
168	7894	38819
169	7934	38737
170	7979	38684
171	8022	38620
172	8065	38553
173	8112	38508
174	8154	38442
175	8194	38365
176	8240	38316
177	8283	38250
178	8325	38187
179	8374	38150
180	8416	38085
181	8463	38038
182	8510	37994
183	8550	37918
184	8591	37849
185	8636	37794
186	8677	37727
187	8719	37661
188	8763	37603
189	8806	37545
190	8850	37488
191	8894	37430
192	8938	37374
193	8979	37306
194	9023	37251
195	9066	37192
196	9108	37126
197	9150	37066
198	9177	36939
199	9233	36932
200	9276	36876
201	9326	36844
202	9366	36775
203	9406	36705
204	9450	36648
205	9493	36593
206	9550	36588
207	9596	36541
208	9637	36476
209	9677	36407
210	9730	36386
211	9800	36428
212	9855	36413
213	9904	36377
214	9951	36333
215	9998	36291
216	10045	36248
217	10094	36208
218	10148	36190
219	10209	36196
220	10256	36153
221	10302	36106
222	10359	36097
223	10411	36067
224	10460	36031
225	10509	35994
226	10551	35932
227	10596	35878
228	10646	35844
229	10696	35810
230	10753	35797
231	10804	35767
232	10849	35715
233	10895	35667
234	10943	35624
235	10988	35573
236	11035	35527
237	11087	35498
238	11136	35459
239	11188	35429
240	11236	35388
241	11280	35333
242	11325	35282
243	11374	35243
244	11419	35191
245	11463	35137
246	11509	35087
247	11562	35059
248	11610	35017
249	11660	34982
250	11721	34978
251	11772	34942
252	11822	34906
253	11866	34852
254	11910	34796
255	11956	34747
